	RowInd	ColInd	GridLat	GridLong
co27882	6.0	1962.0	89.45833587646484	-16.45833396911621
co27894	6.0	1974.0	89.45833587646484	-15.458333015441895
co27906	6.0	1986.0	89.45833587646484	-14.458333015441895
co27918	6.0	1998.0	89.45833587646484	-13.458333015441895
co27930	6.0	2010.0	89.45833587646484	-12.458333015441895
co27942	6.0	2022.0	89.45833587646484	-11.458333015441895
co27954	6.0	2034.0	89.45833587646484	-10.458333015441895
co27966	6.0	2046.0	89.45833587646484	-9.458333015441895
co27978	6.0	2058.0	89.45833587646484	-8.458333015441895
co27990	6.0	2070.0	89.45833587646484	-7.458333492279053
co28002	6.0	2082.0	89.45833587646484	-6.458333492279053
co28014	6.0	2094.0	89.45833587646484	-5.458333492279053
co28026	6.0	2106.0	89.45833587646484	-4.458333492279053
co28038	6.0	2118.0	89.45833587646484	-3.4583332538604736
co28050	6.0	2130.0	89.45833587646484	-2.4583332538604736
co28062	6.0	2142.0	89.45833587646484	-1.4583333730697632
co28074	6.0	2154.0	89.45833587646484	-0.4583333432674408
co28086	6.0	2166.0	89.45833587646484	0.5416666865348816
co28098	6.0	2178.0	89.45833587646484	1.5416666269302368
co28110	6.0	2190.0	89.45833587646484	2.5416667461395264
co28122	6.0	2202.0	89.45833587646484	3.5416667461395264
co28134	6.0	2214.0	89.45833587646484	4.541666507720947
co28146	6.0	2226.0	89.45833587646484	5.541666507720947
co28158	6.0	2238.0	89.45833587646484	6.541666507720947
co28170	6.0	2250.0	89.45833587646484	7.541666507720947
co28182	6.0	2262.0	89.45833587646484	8.541666984558105
co28194	6.0	2274.0	89.45833587646484	9.541666984558105
co28206	6.0	2286.0	89.45833587646484	10.541666984558105
co28218	6.0	2298.0	89.45833587646484	11.541666984558105
co28230	6.0	2310.0	89.45833587646484	12.541666984558105
co28242	6.0	2322.0	89.45833587646484	13.541666984558105
co28254	6.0	2334.0	89.45833587646484	14.541666984558105
co28266	6.0	2346.0	89.45833587646484	15.541666984558105
co28278	6.0	2358.0	89.45833587646484	16.54166603088379
co28290	6.0	2370.0	89.45833587646484	17.54166603088379
co28302	6.0	2382.0	89.45833587646484	18.54166603088379
co28314	6.0	2394.0	89.45833587646484	19.54166603088379
co28326	6.0	2406.0	89.45833587646484	20.54166603088379
co28338	6.0	2418.0	89.45833587646484	21.54166603088379
co28350	6.0	2430.0	89.45833587646484	22.54166603088379
co28362	6.0	2442.0	89.45833587646484	23.54166603088379
co28374	6.0	2454.0	89.45833587646484	24.54166603088379
co28386	6.0	2466.0	89.45833587646484	25.54166603088379
co28398	6.0	2478.0	89.45833587646484	26.54166603088379
co28410	6.0	2490.0	89.45833587646484	27.54166603088379
co28422	6.0	2502.0	89.45833587646484	28.54166603088379
co28434	6.0	2514.0	89.45833587646484	29.54166603088379
co28446	6.0	2526.0	89.45833587646484	30.54166603088379
co28458	6.0	2538.0	89.45833587646484	31.54166603088379
co28470	6.0	2550.0	89.45833587646484	32.54166793823242
co28482	6.0	2562.0	89.45833587646484	33.54166793823242
co28494	6.0	2574.0	89.45833587646484	34.54166793823242
co28506	6.0	2586.0	89.45833587646484	35.54166793823242
co28518	6.0	2598.0	89.45833587646484	36.54166793823242
co28530	6.0	2610.0	89.45833587646484	37.54166793823242
co28542	6.0	2622.0	89.45833587646484	38.54166793823242
co28554	6.0	2634.0	89.45833587646484	39.54166793823242
co28566	6.0	2646.0	89.45833587646484	40.54166793823242
co28578	6.0	2658.0	89.45833587646484	41.54166793823242
co28590	6.0	2670.0	89.45833587646484	42.54166793823242
co28602	6.0	2682.0	89.45833587646484	43.54166793823242
co28614	6.0	2694.0	89.45833587646484	44.54166793823242
co28626	6.0	2706.0	89.45833587646484	45.54166793823242
co28638	6.0	2718.0	89.45833587646484	46.54166793823242
co28650	6.0	2730.0	89.45833587646484	47.54166793823242
co28662	6.0	2742.0	89.45833587646484	48.54166793823242
co28674	6.0	2754.0	89.45833587646484	49.54166793823242
co28686	6.0	2766.0	89.45833587646484	50.54166793823242
co28698	6.0	2778.0	89.45833587646484	51.54166793823242
co28710	6.0	2790.0	89.45833587646484	52.54166793823242
co28722	6.0	2802.0	89.45833587646484	53.54166793823242
co28734	6.0	2814.0	89.45833587646484	54.54166793823242
co28746	6.0	2826.0	89.45833587646484	55.54166793823242
co28758	6.0	2838.0	89.45833587646484	56.54166793823242
co28770	6.0	2850.0	89.45833587646484	57.54166793823242
co28782	6.0	2862.0	89.45833587646484	58.54166793823242
co28794	6.0	2874.0	89.45833587646484	59.54166793823242
co28806	6.0	2886.0	89.45833587646484	60.54166793823242
co28818	6.0	2898.0	89.45833587646484	61.54166793823242
co28830	6.0	2910.0	89.45833587646484	62.54166793823242
co28842	6.0	2922.0	89.45833587646484	63.54166793823242
co28854	6.0	2934.0	89.45833587646484	64.54166412353516
co28866	6.0	2946.0	89.45833587646484	65.54166412353516
co28878	6.0	2958.0	89.45833587646484	66.54166412353516
co28890	6.0	2970.0	89.45833587646484	67.54166412353516
co28902	6.0	2982.0	89.45833587646484	68.54166412353516
co28914	6.0	2994.0	89.45833587646484	69.54166412353516
co28926	6.0	3006.0	89.45833587646484	70.54166412353516
co28938	6.0	3018.0	89.45833587646484	71.54166412353516
co28950	6.0	3030.0	89.45833587646484	72.54166412353516
co28962	6.0	3042.0	89.45833587646484	73.54166412353516
co28974	6.0	3054.0	89.45833587646484	74.54166412353516
co28986	6.0	3066.0	89.45833587646484	75.54166412353516
co28998	6.0	3078.0	89.45833587646484	76.54166412353516
co29010	6.0	3090.0	89.45833587646484	77.54166412353516
co29022	6.0	3102.0	89.45833587646484	78.54166412353516
co29034	6.0	3114.0	89.45833587646484	79.54166412353516
co29046	6.0	3126.0	89.45833587646484	80.54166412353516
co29058	6.0	3138.0	89.45833587646484	81.54166412353516
co29070	6.0	3150.0	89.45833587646484	82.54166412353516
co29082	6.0	3162.0	89.45833587646484	83.54166412353516
co29094	6.0	3174.0	89.45833587646484	84.54166412353516
co29106	6.0	3186.0	89.45833587646484	85.54166412353516
co29118	6.0	3198.0	89.45833587646484	86.54166412353516
co29130	6.0	3210.0	89.45833587646484	87.54166412353516
co29142	6.0	3222.0	89.45833587646484	88.54166412353516
co29154	6.0	3234.0	89.45833587646484	89.54166412353516
co29166	6.0	3246.0	89.45833587646484	90.54166412353516
co29178	6.0	3258.0	89.45833587646484	91.54166412353516
co29190	6.0	3270.0	89.45833587646484	92.54166412353516
co29202	6.0	3282.0	89.45833587646484	93.54166412353516
co29214	6.0	3294.0	89.45833587646484	94.54166412353516
co29226	6.0	3306.0	89.45833587646484	95.54166412353516
co29238	6.0	3318.0	89.45833587646484	96.54166412353516
co29250	6.0	3330.0	89.45833587646484	97.54166412353516
co29262	6.0	3342.0	89.45833587646484	98.54166412353516
co29274	6.0	3354.0	89.45833587646484	99.54166412353516
co29286	6.0	3366.0	89.45833587646484	100.54166412353516
co29298	6.0	3378.0	89.45833587646484	101.54166412353516
co29310	6.0	3390.0	89.45833587646484	102.54166412353516
co29322	6.0	3402.0	89.45833587646484	103.54166412353516
co29334	6.0	3414.0	89.45833587646484	104.54166412353516
co29346	6.0	3426.0	89.45833587646484	105.54166412353516
co29358	6.0	3438.0	89.45833587646484	106.54166412353516
co29370	6.0	3450.0	89.45833587646484	107.54166412353516
co29382	6.0	3462.0	89.45833587646484	108.54166412353516
co29394	6.0	3474.0	89.45833587646484	109.54166412353516
co29406	6.0	3486.0	89.45833587646484	110.54166412353516
co29418	6.0	3498.0	89.45833587646484	111.54166412353516
co29430	6.0	3510.0	89.45833587646484	112.54166412353516
co29442	6.0	3522.0	89.45833587646484	113.54166412353516
co29454	6.0	3534.0	89.45833587646484	114.54166412353516
co29466	6.0	3546.0	89.45833587646484	115.54166412353516
co29478	6.0	3558.0	89.45833587646484	116.54166412353516
co29490	6.0	3570.0	89.45833587646484	117.54166412353516
co29502	6.0	3582.0	89.45833587646484	118.54166412353516
co29514	6.0	3594.0	89.45833587646484	119.54166412353516
co29526	6.0	3606.0	89.45833587646484	120.54166412353516
co29538	6.0	3618.0	89.45833587646484	121.54166412353516
co29550	6.0	3630.0	89.45833587646484	122.54166412353516
co29562	6.0	3642.0	89.45833587646484	123.54166412353516
co29574	6.0	3654.0	89.45833587646484	124.54166412353516
co29586	6.0	3666.0	89.45833587646484	125.54166412353516
co29598	6.0	3678.0	89.45833587646484	126.54166412353516
co29610	6.0	3690.0	89.45833587646484	127.54166412353516
co29622	6.0	3702.0	89.45833587646484	128.5416717529297
co29634	6.0	3714.0	89.45833587646484	129.5416717529297
co29646	6.0	3726.0	89.45833587646484	130.5416717529297
co29658	6.0	3738.0	89.45833587646484	131.5416717529297
co29670	6.0	3750.0	89.45833587646484	132.5416717529297
co29682	6.0	3762.0	89.45833587646484	133.5416717529297
co29694	6.0	3774.0	89.45833587646484	134.5416717529297
co29706	6.0	3786.0	89.45833587646484	135.5416717529297
co29718	6.0	3798.0	89.45833587646484	136.5416717529297
co29730	6.0	3810.0	89.45833587646484	137.5416717529297
co29742	6.0	3822.0	89.45833587646484	138.5416717529297
co29754	6.0	3834.0	89.45833587646484	139.5416717529297
co29766	6.0	3846.0	89.45833587646484	140.5416717529297
co29778	6.0	3858.0	89.45833587646484	141.5416717529297
co29790	6.0	3870.0	89.45833587646484	142.5416717529297
co29802	6.0	3882.0	89.45833587646484	143.5416717529297
co29814	6.0	3894.0	89.45833587646484	144.5416717529297
co29826	6.0	3906.0	89.45833587646484	145.5416717529297
co29838	6.0	3918.0	89.45833587646484	146.5416717529297
co29850	6.0	3930.0	89.45833587646484	147.5416717529297
co29862	6.0	3942.0	89.45833587646484	148.5416717529297
co29874	6.0	3954.0	89.45833587646484	149.5416717529297
co29886	6.0	3966.0	89.45833587646484	150.5416717529297
co29898	6.0	3978.0	89.45833587646484	151.5416717529297
co29910	6.0	3990.0	89.45833587646484	152.5416717529297
co29922	6.0	4002.0	89.45833587646484	153.5416717529297
co29934	6.0	4014.0	89.45833587646484	154.5416717529297
co29946	6.0	4026.0	89.45833587646484	155.5416717529297
co29958	6.0	4038.0	89.45833587646484	156.5416717529297
co29970	6.0	4050.0	89.45833587646484	157.5416717529297
co29982	6.0	4062.0	89.45833587646484	158.5416717529297
co29994	6.0	4074.0	89.45833587646484	159.5416717529297
co30006	6.0	4086.0	89.45833587646484	160.5416717529297
co30018	6.0	4098.0	89.45833587646484	161.5416717529297
co30030	6.0	4110.0	89.45833587646484	162.5416717529297
co30042	6.0	4122.0	89.45833587646484	163.5416717529297
co30054	6.0	4134.0	89.45833587646484	164.5416717529297
co30066	6.0	4146.0	89.45833587646484	165.5416717529297
co30078	6.0	4158.0	89.45833587646484	166.5416717529297
co30090	6.0	4170.0	89.45833587646484	167.5416717529297
co30102	6.0	4182.0	89.45833587646484	168.5416717529297
co30114	6.0	4194.0	89.45833587646484	169.5416717529297
co30126	6.0	4206.0	89.45833587646484	170.5416717529297
co30138	6.0	4218.0	89.45833587646484	171.5416717529297
co30150	6.0	4230.0	89.45833587646484	172.5416717529297
co30162	6.0	4242.0	89.45833587646484	173.5416717529297
co30174	6.0	4254.0	89.45833587646484	174.5416717529297
co30186	6.0	4266.0	89.45833587646484	175.5416717529297
co30198	6.0	4278.0	89.45833587646484	176.5416717529297
co30210	6.0	4290.0	89.45833587646484	177.5416717529297
co30222	6.0	4302.0	89.45833587646484	178.5416717529297
co30234	6.0	4314.0	89.45833587646484	179.5416717529297
co77766	18.0	6.0	88.45833587646484	-179.4583282470703
co77778	18.0	18.0	88.45833587646484	-178.4583282470703
co77790	18.0	30.0	88.45833587646484	-177.4583282470703
co77802	18.0	42.0	88.45833587646484	-176.4583282470703
co77814	18.0	54.0	88.45833587646484	-175.4583282470703
co77826	18.0	66.0	88.45833587646484	-174.4583282470703
co77838	18.0	78.0	88.45833587646484	-173.4583282470703
co77850	18.0	90.0	88.45833587646484	-172.4583282470703
co77862	18.0	102.0	88.45833587646484	-171.4583282470703
co77874	18.0	114.0	88.45833587646484	-170.4583282470703
co77886	18.0	126.0	88.45833587646484	-169.4583282470703
co77898	18.0	138.0	88.45833587646484	-168.4583282470703
co77910	18.0	150.0	88.45833587646484	-167.4583282470703
co77922	18.0	162.0	88.45833587646484	-166.4583282470703
co77934	18.0	174.0	88.45833587646484	-165.4583282470703
co77946	18.0	186.0	88.45833587646484	-164.4583282470703
co77958	18.0	198.0	88.45833587646484	-163.4583282470703
co77970	18.0	210.0	88.45833587646484	-162.4583282470703
co77982	18.0	222.0	88.45833587646484	-161.4583282470703
co77994	18.0	234.0	88.45833587646484	-160.4583282470703
co78006	18.0	246.0	88.45833587646484	-159.4583282470703
co78018	18.0	258.0	88.45833587646484	-158.4583282470703
co78030	18.0	270.0	88.45833587646484	-157.4583282470703
co78042	18.0	282.0	88.45833587646484	-156.4583282470703
co78054	18.0	294.0	88.45833587646484	-155.4583282470703
co78066	18.0	306.0	88.45833587646484	-154.4583282470703
co78078	18.0	318.0	88.45833587646484	-153.4583282470703
co78090	18.0	330.0	88.45833587646484	-152.4583282470703
co78102	18.0	342.0	88.45833587646484	-151.4583282470703
co78114	18.0	354.0	88.45833587646484	-150.4583282470703
co78126	18.0	366.0	88.45833587646484	-149.4583282470703
co78138	18.0	378.0	88.45833587646484	-148.4583282470703
co78150	18.0	390.0	88.45833587646484	-147.4583282470703
co78162	18.0	402.0	88.45833587646484	-146.4583282470703
co78174	18.0	414.0	88.45833587646484	-145.4583282470703
co78186	18.0	426.0	88.45833587646484	-144.4583282470703
co78198	18.0	438.0	88.45833587646484	-143.4583282470703
co78210	18.0	450.0	88.45833587646484	-142.4583282470703
co78222	18.0	462.0	88.45833587646484	-141.4583282470703
co78234	18.0	474.0	88.45833587646484	-140.4583282470703
co78246	18.0	486.0	88.45833587646484	-139.4583282470703
co78258	18.0	498.0	88.45833587646484	-138.4583282470703
co78270	18.0	510.0	88.45833587646484	-137.4583282470703
co78282	18.0	522.0	88.45833587646484	-136.4583282470703
co78294	18.0	534.0	88.45833587646484	-135.4583282470703
co78306	18.0	546.0	88.45833587646484	-134.4583282470703
co78318	18.0	558.0	88.45833587646484	-133.4583282470703
co78330	18.0	570.0	88.45833587646484	-132.4583282470703
co78342	18.0	582.0	88.45833587646484	-131.4583282470703
co78354	18.0	594.0	88.45833587646484	-130.4583282470703
co78366	18.0	606.0	88.45833587646484	-129.4583282470703
co78378	18.0	618.0	88.45833587646484	-128.4583282470703
co78390	18.0	630.0	88.45833587646484	-127.45833587646484
co78402	18.0	642.0	88.45833587646484	-126.45833587646484
co78414	18.0	654.0	88.45833587646484	-125.45833587646484
co78426	18.0	666.0	88.45833587646484	-124.45833587646484
co78438	18.0	678.0	88.45833587646484	-123.45833587646484
co78450	18.0	690.0	88.45833587646484	-122.45833587646484
co78462	18.0	702.0	88.45833587646484	-121.45833587646484
co78474	18.0	714.0	88.45833587646484	-120.45833587646484
co78486	18.0	726.0	88.45833587646484	-119.45833587646484
co78498	18.0	738.0	88.45833587646484	-118.45833587646484
co78510	18.0	750.0	88.45833587646484	-117.45833587646484
co78522	18.0	762.0	88.45833587646484	-116.45833587646484
co78534	18.0	774.0	88.45833587646484	-115.45833587646484
co78546	18.0	786.0	88.45833587646484	-114.45833587646484
co78558	18.0	798.0	88.45833587646484	-113.45833587646484
co78570	18.0	810.0	88.45833587646484	-112.45833587646484
co78582	18.0	822.0	88.45833587646484	-111.45833587646484
co78594	18.0	834.0	88.45833587646484	-110.45833587646484
co78606	18.0	846.0	88.45833587646484	-109.45833587646484
co78618	18.0	858.0	88.45833587646484	-108.45833587646484
co78630	18.0	870.0	88.45833587646484	-107.45833587646484
co78642	18.0	882.0	88.45833587646484	-106.45833587646484
co78654	18.0	894.0	88.45833587646484	-105.45833587646484
co78666	18.0	906.0	88.45833587646484	-104.45833587646484
co78678	18.0	918.0	88.45833587646484	-103.45833587646484
co78690	18.0	930.0	88.45833587646484	-102.45833587646484
co78702	18.0	942.0	88.45833587646484	-101.45833587646484
co78714	18.0	954.0	88.45833587646484	-100.45833587646484
co78726	18.0	966.0	88.45833587646484	-99.45833587646484
co78738	18.0	978.0	88.45833587646484	-98.45833587646484
co78750	18.0	990.0	88.45833587646484	-97.45833587646484
co78762	18.0	1002.0	88.45833587646484	-96.45833587646484
co78774	18.0	1014.0	88.45833587646484	-95.45833587646484
co78786	18.0	1026.0	88.45833587646484	-94.45833587646484
co78798	18.0	1038.0	88.45833587646484	-93.45833587646484
co78810	18.0	1050.0	88.45833587646484	-92.45833587646484
co78822	18.0	1062.0	88.45833587646484	-91.45833587646484
co78834	18.0	1074.0	88.45833587646484	-90.45833587646484
co78846	18.0	1086.0	88.45833587646484	-89.45833587646484
co78858	18.0	1098.0	88.45833587646484	-88.45833587646484
co78870	18.0	1110.0	88.45833587646484	-87.45833587646484
co78882	18.0	1122.0	88.45833587646484	-86.45833587646484
co78894	18.0	1134.0	88.45833587646484	-85.45833587646484
co78906	18.0	1146.0	88.45833587646484	-84.45833587646484
co78918	18.0	1158.0	88.45833587646484	-83.45833587646484
co78930	18.0	1170.0	88.45833587646484	-82.45833587646484
co78942	18.0	1182.0	88.45833587646484	-81.45833587646484
co78954	18.0	1194.0	88.45833587646484	-80.45833587646484
co78966	18.0	1206.0	88.45833587646484	-79.45833587646484
co78978	18.0	1218.0	88.45833587646484	-78.45833587646484
co78990	18.0	1230.0	88.45833587646484	-77.45833587646484
co79002	18.0	1242.0	88.45833587646484	-76.45833587646484
co79014	18.0	1254.0	88.45833587646484	-75.45833587646484
co79026	18.0	1266.0	88.45833587646484	-74.45833587646484
co79038	18.0	1278.0	88.45833587646484	-73.45833587646484
co79050	18.0	1290.0	88.45833587646484	-72.45833587646484
co79062	18.0	1302.0	88.45833587646484	-71.45833587646484
co79074	18.0	1314.0	88.45833587646484	-70.45833587646484
co79086	18.0	1326.0	88.45833587646484	-69.45833587646484
co79098	18.0	1338.0	88.45833587646484	-68.45833587646484
co79110	18.0	1350.0	88.45833587646484	-67.45833587646484
co79122	18.0	1362.0	88.45833587646484	-66.45833587646484
co79134	18.0	1374.0	88.45833587646484	-65.45833587646484
