	Year	Month	RowInd	ColInd	GridLat	GridLong	eukbank_unique_points	elevation	marine_biome	longhurst_code	longhurst_description	ocean	iho_name	iho_id
G0512	2016	5	1575	76	-41.291668	-173.625	['E0117']	-3215	Westerlies	SSTC	Westerlies - S. Subtropical Convergence Province	South Pacific	South Pacific Ocean	61
G0513	2016	5	1580	72	-41.70834	-173.95833	['E0116']	-2724	Coastal	NEWZ	Coastal - New Zealand Coastal Province	South Pacific	South Pacific Ocean	61
G0514	2016	5	1586	68	-42.20834	-174.29166	['E0115']	-2623	Coastal	NEWZ	Coastal - New Zealand Coastal Province	South Pacific	South Pacific Ocean	61
G0515	2016	5	1588	67	-42.37501	-174.375	['E0108']	-2660	Coastal	NEWZ	Coastal - New Zealand Coastal Province	South Pacific	South Pacific Ocean	61
G0516	2016	5	1591	3938	-42.62501	148.20836	['E0095']	-83	Westerlies	SSTC	Westerlies - S. Subtropical Convergence Province	South Pacific	Tasman Sea	63
G0517	2016	5	1593	64	-42.791668	-174.625	['E0078']	-1258	Coastal	NEWZ	Coastal - New Zealand Coastal Province	South Pacific	South Pacific Ocean	61
G0518	2016	5	1595	62	-42.95834	-174.79166	['E0077']	-866	Coastal	NEWZ	Coastal - New Zealand Coastal Province	South Pacific	South Pacific Ocean	61
G0519	2016	5	1609	72	-44.12501	-173.95833	['E0076']	-1926	Coastal	NEWZ	Coastal - New Zealand Coastal Province	South Pacific	South Pacific Ocean	61
G0520	2016	5	1611	75	-44.291668	-173.70833	['E0075']	-3294	Coastal	NEWZ	Coastal - New Zealand Coastal Province	South Pacific	South Pacific Ocean	61
G0521	2016	5	1614	77	-44.541668	-173.54166	['E0074']	-3302	Coastal	NEWZ	Coastal - New Zealand Coastal Province	South Pacific	South Pacific Ocean	61
G0522	2016	5	1618	82	-44.87501	-173.125	['E0071']	-4374	Westerlies	SANT	Westerlies - Subantarctic Province	South Pacific	South Pacific Ocean	61
G0523	2016	5	1622	87	-45.20834	-172.70833	['E0070']	-4576	Westerlies	SANT	Westerlies - Subantarctic Province	South Pacific	South Pacific Ocean	61
G0524	2016	5	1635	103	-46.291668	-171.375	['E0069']	-5129	Westerlies	SANT	Westerlies - Subantarctic Province	South Pacific	South Pacific Ocean	61
G0525	2016	5	1645	114	-47.12501	-170.45833	['E0068']	-5304	Westerlies	SANT	Westerlies - Subantarctic Province	South Pacific	South Pacific Ocean	61
G0526	2016	5	1649	120	-47.45834	-169.95833	['E0066']	-5326	Westerlies	SANT	Westerlies - Subantarctic Province	South Pacific	South Pacific Ocean	61
G0527	2016	5	1655	120	-47.95834	-169.95833	['E0065']	-5352	Westerlies	SANT	Westerlies - Subantarctic Province	South Pacific	South Pacific Ocean	61
G0528	2016	5	1662	119	-48.541668	-170.04166	['E0063']	-5286	Westerlies	SANT	Westerlies - Subantarctic Province	South Pacific	South Pacific Ocean	61
G0529	2016	5	1667	119	-48.95834	-170.04166	['E0062']	-5293	Westerlies	SANT	Westerlies - Subantarctic Province	South Pacific	South Pacific Ocean	61
G0530	2016	5	1686	119	-50.541668	-170.04166	['E0061']	-5040	Westerlies	SANT	Westerlies - Subantarctic Province	South Pacific	South Pacific Ocean	61
G0531	2016	5	1704	119	-52.041668	-170.04166	['E0059']	-4647	Westerlies	SANT	Westerlies - Subantarctic Province	South Pacific	South Pacific Ocean	61
G0532	2016	5	1722	120	-53.541668	-169.95833	['E0055']	-5118	Westerlies	SANT	Westerlies - Subantarctic Province	South Pacific	South Pacific Ocean	61
G0533	2016	5	1727	120	-53.95834	-169.95833	['E0053']	-5111	Westerlies	SANT	Westerlies - Subantarctic Province	South Pacific	South Pacific Ocean	61
G0534	2016	5	1733	119	-54.45834	-170.04166	['E0050']	-4886	Westerlies	SANT	Westerlies - Subantarctic Province	South Pacific	South Pacific Ocean	61
G0535	2016	5	1746	120	-55.541668	-169.95833	['E0047']	-4868	Westerlies	SANT	Westerlies - Subantarctic Province	South Pacific	South Pacific Ocean	61
G0536	2016	5	1751	119	-55.95834	-170.04166	['E0045']	-5004	Westerlies	SANT	Westerlies - Subantarctic Province	South Pacific	South Pacific Ocean	61
G0537	2016	5	1764	119	-57.041668	-170.04166	['E0043']	-4754	Westerlies	SANT	Westerlies - Subantarctic Province	South Pacific	South Pacific Ocean	61
G0538	2016	5	1787	119	-58.95834	-170.04166	['E0036']	-4842	Polar	ANTA	Polar - Antarctic Province	South Pacific	South Pacific Ocean	61
G0539	2016	5	1812	119	-61.041668	-170.04166	['E0030']	-4118	Polar	ANTA	Polar - Antarctic Province	Southern	Southern Ocean	67
G0540	2016	5	1817	120	-61.45834	-169.95833	['E0029']	-3548	Polar	ANTA	Polar - Antarctic Province	Southern	Southern Ocean	67
G0541	2016	5	1824	120	-62.041668	-169.95833	['E0027']	-3401	Polar	ANTA	Polar - Antarctic Province	Southern	Southern Ocean	67
G0542	2016	5	1829	120	-62.45834	-169.95833	['E0022']	-3090	Polar	ANTA	Polar - Antarctic Province	Southern	Southern Ocean	67
G0543	2016	5	1836	119	-63.041668	-170.04166	['E0021']	-3139	Polar	ANTA	Polar - Antarctic Province	Southern	Southern Ocean	67
G0544	2016	5	1847	119	-63.95834	-170.04166	['E0013']	-2753	Polar	ANTA	Polar - Antarctic Province	Southern	Southern Ocean	67
G0545	2016	5	1875	120	-66.291664	-169.95833	['E0001']	-3260	Polar	ANTA	Polar - Antarctic Province	Southern	Southern Ocean	67
G0546	2016	6	1080	135	-0.041666668	-168.70833	['E0732']	-5536	Trades	PEQD	Trades - Pacific Equatorial Divergence Province	South Pacific	South Pacific Ocean	61
G0547	2016	6	1085	135	-0.4583384	-168.70833	['E0729']	-5513	Trades	PEQD	Trades - Pacific Equatorial Divergence Province	South Pacific	South Pacific Ocean	61
G0548	2016	6	1091	135	-0.95833844	-168.70833	['E0725']	-5664	Trades	PEQD	Trades - Pacific Equatorial Divergence Province	South Pacific	South Pacific Ocean	61
G0549	2016	6	1098	135	-1.5416666	-168.70833	['E0724']	-4128	Trades	PEQD	Trades - Pacific Equatorial Divergence Province	South Pacific	South Pacific Ocean	61
G0550	2016	6	1104	134	-2.0416667	-168.79166	['E0721']	-3110	Trades	PEQD	Trades - Pacific Equatorial Divergence Province	South Pacific	South Pacific Ocean	61
G0551	2016	6	1110	134	-2.5416667	-168.79166	['E0716']	-5331	Trades	PEQD	Trades - Pacific Equatorial Divergence Province	South Pacific	South Pacific Ocean	61
G0552	2016	6	1115	134	-2.9583385	-168.79166	['E0715']	-5163	Trades	PEQD	Trades - Pacific Equatorial Divergence Province	South Pacific	South Pacific Ocean	61
G0553	2016	6	1122	134	-3.5416667	-168.79166	['E0713']	-4655	Trades	PEQD	Trades - Pacific Equatorial Divergence Province	South Pacific	South Pacific Ocean	61
G0554	2016	6	1127	134	-3.9583385	-168.79166	['E0712']	-5746	Trades	PEQD	Trades - Pacific Equatorial Divergence Province	South Pacific	South Pacific Ocean	61
G0555	2016	6	1134	134	-4.5416665	-168.79166	['E0711']	-5757	Trades	PEQD	Trades - Pacific Equatorial Divergence Province	South Pacific	South Pacific Ocean	61
G0556	2016	6	1139	134	-4.9583383	-168.79166	['E0708']	-5481	Trades	PEQD	Trades - Pacific Equatorial Divergence Province	South Pacific	South Pacific Ocean	61
G0557	2016	6	1146	134	-5.5416665	-168.79166	['E0704']	-5578	Trades	PEQD	Trades - Pacific Equatorial Divergence Province	South Pacific	South Pacific Ocean	61
G0558	2016	6	1151	134	-5.9583383	-168.79166	['E0703']	-5726	Trades	PEQD	Trades - Pacific Equatorial Divergence Province	South Pacific	South Pacific Ocean	61
G0559	2016	6	1158	135	-6.5416665	-168.70833	['E0702']	-5689	Trades	PEQD	Trades - Pacific Equatorial Divergence Province	South Pacific	South Pacific Ocean	61
G0560	2016	6	1164	134	-7.0416665	-168.79166	['E0697']	-4383	Trades	PEQD	Trades - Pacific Equatorial Divergence Province	South Pacific	South Pacific Ocean	61
G0561	2016	6	1169	134	-7.4583383	-168.79166	['E0695']	-5247	Trades	PEQD	Trades - Pacific Equatorial Divergence Province	South Pacific	South Pacific Ocean	61
G0562	2016	6	1176	136	-8.041667	-168.625	['E0694']	-4891	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0563	2016	6	1181	134	-8.458339	-168.79166	['E0693']	-5130	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0564	2016	6	1187	133	-8.958339	-168.875	['E0678']	-4651	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0565	2016	6	1193	132	-9.458339	-168.95833	['E0667']	-5259	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0566	2016	6	1199	124	-9.958339	-169.625	['E0666']	-5271	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0567	2016	6	1205	120	-10.458339	-169.95833	['E0665']	-4805	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0568	2016	6	1211	120	-10.958339	-169.95833	['E0656']	-5159	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0569	2016	6	1217	120	-11.458339	-169.95833	['E0655']	-4998	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0570	2016	6	1223	119	-11.958339	-170.04166	['E0649']	-5083	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0571	2016	6	1229	120	-12.458339	-169.95833	['E0635']	-5023	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0572	2016	6	1235	120	-12.958339	-169.95833	['E0628']	-4970	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0573	2016	6	1242	119	-13.541667	-170.04166	['E0622']	-4824	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0574	2016	6	1245	120	-13.791667	-169.95833	['E0620']	-4362	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0575	2016	6	1247	120	-13.958339	-169.95833	['E0617']	-3448	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0576	2016	6	1251	120	-14.291667	-169.95833	['E0616']	-3427	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0577	2016	6	1255	120	-14.625003	-169.95833	['E0615']	-3430	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0578	2016	6	1260	120	-15.041667	-169.95833	['E0614']	-4939	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0579	2016	6	1265	119	-15.458339	-170.04166	['E0612']	-4954	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0580	2016	6	1272	119	-16.041666	-170.04166	['E0610']	-5205	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0581	2016	6	1278	119	-16.541666	-170.04166	['E0608']	-5084	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0582	2016	6	1284	119	-17.041666	-170.04166	['E0601']	-4826	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0583	2016	6	1289	119	-17.458338	-170.04166	['E0597']	-5042	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0584	2016	6	1295	119	-17.958338	-170.04166	['E0593']	-5211	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0585	2016	6	1302	119	-18.541666	-170.04166	['E0591']	-5321	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0586	2016	6	1308	119	-19.041666	-170.04166	['E0584']	-1859	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0587	2016	6	1309	3919	-19.125002	146.62502	['E0576']	-5	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Coral Sea	64
G0588	2016	6	1311	3931	-19.291666	147.62502	['E0561', 'E0562']	-22	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Coral Sea	64
G0589	2016	6	1313	119	-19.458338	-170.04166	['E0549']	-5019	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0590	2016	6	1319	119	-19.958338	-170.04166	['E0548']	-5262	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0591	2016	6	1326	120	-20.541666	-169.95833	['E0543']	-5558	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0592	2016	6	1331	120	-20.958338	-169.95833	['E0538']	-5537	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0593	2016	6	1338	120	-21.541666	-169.95833	['E0526']	-5486	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0594	2016	6	1344	120	-22.041666	-169.95833	['E0524']	-5507	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0595	2016	6	1349	119	-22.458338	-170.04166	['E0520']	-5667	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0596	2016	6	1355	119	-22.958338	-170.04166	['E0518']	-5653	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0597	2016	6	1367	119	-23.958338	-170.04166	['E0491']	-5744	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0598	2016	6	1373	119	-24.458338	-170.04166	['E0490']	-5606	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0599	2016	6	1379	119	-24.958338	-170.04166	['E0488']	-5531	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0600	2016	6	1385	119	-25.458338	-170.04166	['E0487']	-6199	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0601	2016	6	1391	120	-25.958338	-169.95833	['E0483']	-5466	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0602	2016	6	1397	120	-26.458338	-169.95833	['E0482']	-5563	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0603	2016	6	1407	120	-27.291666	-169.95833	['E0480']	-5390	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0604	2016	6	1422	120	-28.541666	-169.95833	['E0453']	-5348	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0605	2016	6	1427	120	-28.958338	-169.95833	['E0452']	-5496	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0606	2016	6	1433	120	-29.458338	-169.95833	['E0447']	-5199	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0607	2016	6	1439	120	-29.958338	-169.95833	['E0431']	-5510	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0608	2016	6	1446	120	-30.541666	-169.95833	['E0421']	-5596	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0609	2016	6	1452	120	-31.041666	-169.95833	['E0415']	-5462	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0610	2016	6	1457	120	-31.458338	-169.95833	['E0407']	-5498	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0611	2016	6	1463	3545	-31.958338	115.45835	['E0362']	-19	Coastal	AUSW	Coastal - Australia-Indonesia Coastal Province	Indian	Indian Ocean	45
G0612	2016	6	1464	120	-32.041668	-169.95833	['E0350']	-5618	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0613	2016	6	1469	120	-32.45834	-169.95833	['E0332']	-5585	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0614	2016	6	1475	119	-32.95834	-170.04166	['E0317']	-5371	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0615	2016	6	1482	119	-33.541668	-170.04166	['E0310']	-5581	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0616	2016	6	1485	3975	-33.791668	151.29167	['E0293']	34	NA	NA	NA	South Pacific	Tasman Sea	63
G0617	2016	6	1486	3974	-33.875004	151.20836	['E0276', 'E0277', 'E0278']	46	NA	NA	NA	NA	NA	NA
G0618	2016	6	1487	120	-33.95834	-169.95833	['E0273']	-5616	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0619	2016	6	1487	3974	-33.95834	151.20836	['E0259', 'E0260', 'E0261']	0	NA	NA	NA	NA	NA	NA
G0620	2016	6	1488	3973	-34.041668	151.12502	['E0200', 'E0201', 'E0216']	29	NA	NA	NA	NA	NA	NA
G0621	2016	6	1488	3974	-34.041668	151.20836	['E0233', 'E0234', 'E0235', 'E0236']	-20	Coastal	AUSE	Coastal - East Australian Coastal Province	NA	NA	NA
G0622	2016	6	1494	119	-34.541668	-170.04166	['E0165']	-5357	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0623	2016	6	1500	120	-35.041668	-169.95833	['E0159']	-5230	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0624	2016	6	1504	119	-35.375004	-170.04166	['E0155']	-4542	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0625	2016	6	1508	119	-35.70834	-170.04166	['E0154']	-4107	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0626	2016	6	1512	120	-36.041668	-169.95833	['E0144']	-5050	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0627	2016	6	1517	116	-36.45834	-170.29166	['E0137']	-5072	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0628	2016	6	1522	112	-36.875004	-170.625	['E0135']	-5224	Westerlies	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	South Pacific	South Pacific Ocean	61
G0629	2016	7	1228	3729	-12.375003	130.79167	['E0642', 'E0643']	-4	Coastal	SUND	Coastal - Sunda-Arafura Shelves Province	Indian	Timor Sea	48i
G0630	2016	7	1462	3548	-31.875002	115.70835	['E0380']	-7	Coastal	AUSW	Coastal - Australia-Indonesia Coastal Province	Indian	Indian Ocean	45
G0631	2016	7	1462	3549	-31.875002	115.791664	['E0393']	37	NA	NA	NA	NA	NA	NA
G0632	2016	7	1485	3975	-33.791668	151.29167	['E0294']	34	NA	NA	NA	South Pacific	Tasman Sea	63
G0633	2016	7	1486	3974	-33.875004	151.20836	['E0279']	46	NA	NA	NA	NA	NA	NA
G0634	2016	7	1487	3974	-33.95834	151.20836	['E0262']	0	NA	NA	NA	NA	NA	NA
G0635	2016	7	1488	3973	-34.041668	151.12502	['E0202', 'E0217']	29	NA	NA	NA	NA	NA	NA
G0636	2016	7	1488	3974	-34.041668	151.20836	['E0237']	-20	Coastal	AUSE	Coastal - East Australian Coastal Province	NA	NA	NA
G0637	2016	7	1489	3974	-34.125004	151.20836	['E0191']	-118	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Tasman Sea	63
G0638	2016	7	1591	3938	-42.62501	148.20836	['E0096', 'E0097']	-83	Westerlies	SSTC	Westerlies - S. Subtropical Convergence Province	South Pacific	Tasman Sea	63
G0639	2016	8	1309	3919	-19.125002	146.62502	['E0577']	-5	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Coral Sea	64
G0640	2016	8	1485	3975	-33.791668	151.29167	['E0295']	34	NA	NA	NA	South Pacific	Tasman Sea	63
G0641	2016	8	1486	3974	-33.875004	151.20836	['E0280']	46	NA	NA	NA	NA	NA	NA
G0642	2016	8	1487	3974	-33.95834	151.20836	['E0263']	0	NA	NA	NA	NA	NA	NA
G0643	2016	8	1488	3973	-34.041668	151.12502	['E0203', 'E0218']	29	NA	NA	NA	NA	NA	NA
G0644	2016	8	1488	3974	-34.041668	151.20836	['E0238']	-20	Coastal	AUSE	Coastal - East Australian Coastal Province	NA	NA	NA
G0645	2016	8	1490	3990	-34.20834	152.54167	['E0170']	-4818	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Tasman Sea	63
G0646	2016	8	1491	3987	-34.291668	152.29167	['E0168']	-4686	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Tasman Sea	63
G0647	2016	8	1591	3938	-42.62501	148.20836	['E0098']	-83	Westerlies	SSTC	Westerlies - S. Subtropical Convergence Province	South Pacific	Tasman Sea	63
G0648	2016	9	1311	3931	-19.291666	147.62502	['E0563']	-22	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Coral Sea	64
G0649	2016	9	1415	4005	-27.958338	153.79167	['E0459']	-107	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Coral Sea	64
G0650	2016	9	1416	4008	-28.041666	154.04167	['E0457']	-898	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Coral Sea	64
G0651	2016	9	1416	4020	-28.041666	155.04167	['E0458']	-4546	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Coral Sea	64
G0652	2016	9	1429	4013	-29.125002	154.45836	['E0450']	-4134	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Coral Sea	64
G0653	2016	9	1447	4003	-30.625002	153.62502	['E0419']	-4319	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Tasman Sea	63
G0654	2016	9	1449	4001	-30.791666	153.45836	['E0417']	-3068	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Tasman Sea	63
G0655	2016	9	1451	4000	-30.958338	153.37502	['E0416']	-1052	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Tasman Sea	63
G0656	2016	9	1458	3999	-31.541666	153.29167	['E0406']	-1267	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Tasman Sea	63
G0657	2016	9	1459	3999	-31.625002	153.29167	['E0404']	-1213	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Tasman Sea	63
G0658	2016	9	1462	3548	-31.875002	115.70835	['E0381']	-7	Coastal	AUSW	Coastal - Australia-Indonesia Coastal Province	Indian	Indian Ocean	45
G0659	2016	9	1462	3549	-31.875002	115.791664	['E0394']	37	NA	NA	NA	NA	NA	NA
G0660	2016	9	1462	3999	-31.875002	153.29167	['E0402']	-2177	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Tasman Sea	63
G0661	2016	9	1463	3999	-31.958338	153.29167	['E0374']	-2407	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Tasman Sea	63
G0662	2016	9	1467	3994	-32.291668	152.87502	['E0346']	-131	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Tasman Sea	63
G0663	2016	9	1469	3997	-32.45834	153.12502	['E0334']	-2592	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Tasman Sea	63
G0664	2016	9	1469	4000	-32.45834	153.37502	['E0337']	-4232	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Tasman Sea	63
G0665	2016	9	1469	4004	-32.45834	153.70836	['E0338']	-4898	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Tasman Sea	63
G0666	2016	9	1469	4009	-32.45834	154.12502	['E0335']	-5132	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Tasman Sea	63
G0667	2016	9	1469	4013	-32.45834	154.45836	['E0333']	-4900	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Tasman Sea	63
G0668	2016	9	1470	3997	-32.541668	153.12502	['E0331']	-2347	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Tasman Sea	63
G0669	2016	9	1471	3996	-32.625004	153.04167	['E0330']	-2479	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Tasman Sea	63
G0670	2016	9	1473	3995	-32.791668	152.95836	['E0323']	-2365	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Tasman Sea	63
G0671	2016	9	1476	3994	-33.041668	152.87502	['E0315', 'E0316']	-3408	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Tasman Sea	63
G0672	2016	9	1480	3984	-33.375004	152.04167	['E0312']	-200	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Tasman Sea	63
G0673	2016	9	1485	3975	-33.791668	151.29167	['E0296']	34	NA	NA	NA	South Pacific	Tasman Sea	63
G0674	2016	9	1486	3974	-33.875004	151.20836	['E0281']	46	NA	NA	NA	NA	NA	NA
G0675	2016	9	1487	3974	-33.95834	151.20836	['E0264']	0	NA	NA	NA	NA	NA	NA
G0676	2016	9	1488	3973	-34.041668	151.12502	['E0204', 'E0219']	29	NA	NA	NA	NA	NA	NA
G0677	2016	9	1488	3974	-34.041668	151.20836	['E0239', 'E0240']	-20	Coastal	AUSE	Coastal - East Australian Coastal Province	NA	NA	NA
G0678	2016	9	1489	3974	-34.125004	151.20836	['E0174']	-118	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Tasman Sea	63
G0679	2016	9	1491	3984	-34.291668	152.04167	['E0167']	-4582	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Tasman Sea	63
G0680	2016	9	1492	3981	-34.375004	151.79167	['E0166']	-2672	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Tasman Sea	63
G0681	2016	9	1498	3976	-34.875004	151.37502	['E0163']	-1848	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Tasman Sea	63
G0682	2016	9	1509	3797	-35.791668	136.45836	['E0150']	-59	Westerlies	SSTC	Westerlies - S. Subtropical Convergence Province	Indian	Great Australian Bight	62
G0683	2016	9	1514	3975	-36.20834	151.29167	['E0143']	-4607	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Tasman Sea	63
G0684	2016	9	1514	3983	-36.20834	151.95836	['E0142']	-5036	Coastal	AUSE	Coastal - East Australian Coastal Province	South Pacific	Tasman Sea	63
